"","kill_num","species","dod","utm_e","utm_n","age","id","year","month","day","jday","coug_sex","coug_age","kits","study_period"
"1","20790","unk deer",2014-11-10,"526714","4986083","fawn",NA,2014,11,10,314,NA,NA,NA,NA
"2","20509","elk",2015-01-07,"532908","4982793","fawn",NA,2015,1,7,7,NA,NA,NA,NA
"3","10228","elk",2015-01-08,"535790","4982629","fawn",NA,2015,1,8,8,NA,NA,NA,NA
"4","32157","mule deer",2015-01-19,"522929","4979693","unk",NA,2015,1,19,19,NA,NA,NA,NA
"5","20719","elk",2015-01-20,"540808","4980910","unk",NA,2015,1,20,20,NA,NA,NA,NA
"6","32195","wt deer",2015-01-26,"535851","4982662","fawn",NA,2015,1,26,26,NA,NA,NA,NA
"7","20764","elk",2015-01-28,"532991","4984591","unk",NA,2015,1,28,28,NA,NA,NA,NA
"8","10471","elk",2015-02-09,"529020","4983647","fawn",NA,2015,2,9,40,NA,NA,NA,NA
"9","20792","elk",2015-02-09,"529023","4983642","fawn",NA,2015,2,9,40,NA,NA,NA,NA
"10","10694","elk",2015-02-09,"528556","4984763","fawn",NA,2015,2,9,40,NA,NA,NA,NA
"11","32614","mule deer",2015-03-08,"532239","4981835","fawn",NA,2015,3,8,67,NA,NA,NA,NA
"12","10721","porcupine",2015-03-09,"569061","4973873","unk",NA,2015,3,9,68,NA,NA,NA,NA
"13","33019","bh sheep",2015-12-27,"545085","4978635","yearling",NA,2015,12,27,361,NA,NA,NA,NA
"14","50104","mule deer",2016-01-01,"532266","4981762","unk",NA,2016,1,1,1,NA,NA,NA,NA
"15","33003","wt deer",2016-01-02,"543417","4978528","yearling",NA,2016,1,2,2,NA,NA,NA,NA
"16","50056","mule deer",2016-01-03,"528489","4985991","unk",NA,2016,1,3,3,NA,NA,NA,NA
"17","50071","mule deer",2016-01-05,"527102","4978180","unk",NA,2016,1,5,5,NA,NA,NA,NA
"18","70051","other",2016-01-07,"548275","4795278","unk",NA,2016,1,7,7,NA,NA,NA,NA
"19","33104","elk",2016-01-08,"537054","4981671","old adult",NA,2016,1,8,8,NA,NA,NA,NA
"20","70129","mule deer",2016-01-10,"546723","4977290","adult",NA,2016,1,10,10,NA,NA,NA,NA
"21","70088","elk",2016-01-13,"530780","4984800","fawn",NA,2016,1,13,13,NA,NA,NA,NA
"22","50109","elk",2016-01-16,"525737","4985912","fawn",NA,2016,1,16,16,NA,NA,NA,NA
"23","50117","elk",2016-01-18,"532339","4984425","old adult",NA,2016,1,18,18,NA,NA,NA,NA
"24","33138","elk",2016-01-18,"532341","4984413","old adult",NA,2016,1,18,18,NA,NA,NA,NA
"25","33117","elk",2016-01-21,"525158","4977813","adult",NA,2016,1,21,21,NA,NA,NA,NA
"26","70133","wt deer",2016-01-21,"543255","4978367","adult",NA,2016,1,21,21,NA,NA,NA,NA
"27","70466","elk",2016-01-22,"542427","4978628","fawn",NA,2016,1,22,22,NA,NA,NA,NA
"28","62","other",2016-01-23,"530180","4984664","adult",NA,2016,1,23,23,NA,NA,NA,NA
"29","57","other",2016-01-26,"555404","4974356","adult",NA,2016,1,26,26,NA,NA,NA,NA
"30","70210","mule deer",2016-01-29,"544770","4978878","unk",NA,2016,1,29,29,NA,NA,NA,NA
"31","70229","mule deer",2016-01-29,"544809","4978933","yearling",NA,2016,1,29,29,NA,NA,NA,NA
"32","50177","elk",2016-01-30,"566700","4968077","fawn",NA,2016,1,30,30,NA,NA,NA,NA
"33","70235","other",2016-02-02,"543450","4979020","unk",NA,2016,2,2,33,NA,NA,NA,NA
"34","70368","elk",2016-02-02,"533459","4982189","yearling",NA,2016,2,2,33,NA,NA,NA,NA
"35","70485","elk",2016-02-03,"544337","4977389","fawn",NA,2016,2,3,34,NA,NA,NA,NA
"36","70484","elk",2016-02-07,"544256","4977607","fawn",NA,2016,2,7,38,NA,NA,NA,NA
"37","70257","elk",2016-02-08,"540588","4982015","fawn",NA,2016,2,8,39,NA,NA,NA,NA
"38","70475","elk",2016-02-12,"538362","4982493","fawn",NA,2016,2,12,43,NA,NA,NA,NA
"39","71","mule deer",2016-02-13,"528417","4985937","fawn",NA,2016,2,13,44,NA,NA,NA,NA
"40","70474","elk",2016-02-14,"539153","4982449","old adult",NA,2016,2,14,45,NA,NA,NA,NA
"41","70473","mule deer",2016-02-17,"540790","4981893","fawn",NA,2016,2,17,48,NA,NA,NA,NA
"42","50270","mule deer",2016-02-18,"541054","4981193","adult",NA,2016,2,18,49,NA,NA,NA,NA
"43","70459","wt deer",2016-02-20,"540850","4980765","fawn",NA,2016,2,20,51,NA,NA,NA,NA
"44","76","elk",2016-02-21,"540306","4978479","yearling",NA,2016,2,21,52,NA,NA,NA,NA
"45","70460","elk",2016-02-24,"540412","4981223","yearling",NA,2016,2,24,55,NA,NA,NA,NA
"46","70467","elk",2016-03-01,"542522","4978723","fawn",NA,2016,3,1,61,NA,NA,NA,NA
"47","33353","elk",2016-03-06,"546844","4976507","fawn",NA,2016,3,6,66,NA,NA,NA,NA
"48","70472","elk",2016-03-10,"543837","4977139","fawn",NA,2016,3,10,70,NA,NA,NA,NA
"49","33354","elk",2016-03-15,"543264","4978580","fawn",NA,2016,3,15,75,NA,NA,NA,NA
"50","33356","elk",2016-03-16,"544962","4979045","old adult",NA,2016,3,16,76,NA,NA,NA,NA
"51","33361","elk",2016-03-26,"539703","4980465","adult",NA,2016,3,26,86,NA,NA,NA,NA
"52","50373","mule deer",2016-03-27,"537345","4981141","fawn",NA,2016,3,27,87,NA,NA,NA,NA
"53","5519","elk",2016-12-08,"526916","4985274","unk",NA,2016,12,8,343,NA,NA,NA,NA
"54","33081","mule deer",2016-12-10,"545081","4978635","unk",NA,2016,12,10,345,NA,NA,NA,NA
"55","8015","other",2017-01-05,"548411","4970471","yearling",NA,2017,1,5,5,NA,NA,NA,NA
"56","8042","bh sheep",2017-01-16,"563671","4972380","adult",NA,2017,1,16,16,NA,NA,NA,NA
"57","4069","bh sheep",2017-01-21,"564444","4969632","unk",NA,2017,1,21,21,NA,NA,NA,NA
"58","8151","mule deer",2017-02-01,"538951","4981752","fawn",NA,2017,2,1,32,NA,NA,NA,NA
"59","4140","mule deer",2017-02-16,"533405","4982061","unk",NA,2017,2,16,47,NA,NA,NA,NA
"60","5618","unk deer",2017-02-18,"543502","4979035","unk",NA,2017,2,18,49,NA,NA,NA,NA
"61","8169","mule deer",2017-02-20,"532619","4983801","unk",NA,2017,2,20,51,NA,NA,NA,NA
"62","8176","mule deer",2017-02-26,"543728","4978380","unk",NA,2017,2,26,57,NA,NA,NA,NA
"63","8140","elk",2017-02-27,"536708","4980690","adult",NA,2017,2,27,58,NA,NA,NA,NA
"64","8149","mule deer",2017-02-27,"538911","4981655","fawn",NA,2017,2,27,58,NA,NA,NA,NA
"65","5638","mule deer",2017-02-27,"543786","4977972","yearling",NA,2017,2,27,58,NA,NA,NA,NA
"66","4191","elk",2017-02-28,"531209","4985066","adult",NA,2017,2,28,59,NA,NA,NA,NA
"67","9147","mule deer",2017-03-01,"534675","4981507","adult",NA,2017,3,1,60,NA,NA,NA,NA
"68","5629","porcupine",2017-03-01,"536476","4973715","adult",NA,2017,3,1,60,NA,NA,NA,NA
"69","5663","unk deer",2017-03-01,"539757","4980799","fawn",NA,2017,3,1,60,NA,NA,NA,NA
"70","5678","mule deer",2017-03-14,"532080","4983754","unk",NA,2017,3,14,73,NA,NA,NA,NA
"71","19-055","mule deer",2019-03-01,"518433","4984789","fawn","F210",2019,3,1,60,"F","Adult","solitary","LW 2019"
"72","19-055","mule deer",2019-03-01,"518433","4984789","fawn","F210",2019,3,1,60,"F","Adult","solitary","SS 2019"
"73","19-055","mule deer",2019-03-01,"518433","4984789","fawn","F210",2019,3,1,60,"F","Adult","w/ kittens <6 mo.","EW 2019"
"74","19-071","elk",2019-02-28,"533829","4969485","adult","1154F,1105M,1015M,1155M,1156M",2019,2,28,59,NA,NA,NA,NA
"75","19-074","mule deer",2019-03-05,"514876","4987807","fawn","F210",2019,3,5,64,"F","Adult","solitary","LW 2019"
"76","19-074","mule deer",2019-03-05,"514876","4987807","fawn","F210",2019,3,5,64,"F","Adult","solitary","SS 2019"
"77","19-074","mule deer",2019-03-05,"514876","4987807","fawn","F210",2019,3,5,64,"F","Adult","w/ kittens <6 mo.","EW 2019"
"78","19-082","mule deer",2019-02-24,"529738","4985342","adult","M211",2019,2,24,55,"M","Adult",NA,"LW 2019"
"79","19-082","mule deer",2019-02-24,"529738","4985342","adult","M211",2019,2,24,55,"M","Adult",NA,"SS 2019"
"80","19-082","mule deer",2019-02-24,"529738","4985342","adult","M211",2019,2,24,55,"M","Adult",NA,"EW 2019"
"81","19-083","mule deer",2019-03-04,"529716","4985298","fawn","M211",2019,3,4,63,"M","Adult",NA,"LW 2019"
"82","19-083","mule deer",2019-03-04,"529716","4985298","fawn","M211",2019,3,4,63,"M","Adult",NA,"SS 2019"
"83","19-083","mule deer",2019-03-04,"529716","4985298","fawn","M211",2019,3,4,63,"M","Adult",NA,"EW 2019"
"84","19-084","elk",2019-02-25,"529369","4985105","yearling","M211",2019,2,25,56,"M","Adult",NA,"LW 2019"
"85","19-084","elk",2019-02-25,"529369","4985105","yearling","M211",2019,2,25,56,"M","Adult",NA,"SS 2019"
"86","19-084","elk",2019-02-25,"529369","4985105","yearling","M211",2019,2,25,56,"M","Adult",NA,"EW 2019"
"87","19-096","porcupine",2019-03-02,"533376","4969691","adult","F207",2019,3,2,61,"F","Adult","solitary","LW 2019"
"88","19-099","mule deer",2019-03-16,"526170","4986879","adult","M219",2019,3,16,75,"M","Adult",NA,"LW 2019"
"89","19-099","mule deer",2019-03-16,"526170","4986879","adult","M219",2019,3,16,75,"M","Adult",NA,"SS 2019"
"90","19-102","mule deer",2019-03-11,"535541","4983021","adult","M211",2019,3,11,70,"M","Adult",NA,"LW 2019"
"91","19-102","mule deer",2019-03-11,"535541","4983021","adult","M211",2019,3,11,70,"M","Adult",NA,"SS 2019"
"92","19-102","mule deer",2019-03-11,"535541","4983021","adult","M211",2019,3,11,70,"M","Adult",NA,"EW 2019"
"93","19-103","elk",2019-03-12,"536920","4982679","yearling","M211",2019,3,12,71,"M","Adult",NA,"LW 2019"
"94","19-103","elk",2019-03-12,"536920","4982679","yearling","M211",2019,3,12,71,"M","Adult",NA,"SS 2019"
